location,date,total_cases,total_deaths,Death_Percentage
India,2021-08-19,32322258,433049,1.339785729
India,2021-08-17,32250679,432079,1.339751637
India,2021-08-09,31969954,428309,1.339723542
India,2021-08-10,31998158,428682,1.339708367
India,2021-08-21,32393286,433964,1.339672672
India,2021-08-11,32036511,429179,1.33965587
India,2021-08-18,32285857,432519,1.339654698
India,2021-08-22,32424234,434367,1.33963689
India,2021-08-13,32117826,430254,1.339611218
India,2021-08-06,31856757,426754,1.339602772
India,2021-08-28,32649947,437370,1.339573384
India,2021-08-15,32192576,431225,1.339516912
India,2021-08-14,32156493,430732,1.339486865
India,2021-08-12,32077706,429669,1.33946299
India,2021-08-16,32225513,431642,1.339441827
India,2021-11-05,34333754,459873,1.339419511
India,2021-11-04,34321025,459652,1.339272356
India,2021-08-29,32695030,437830,1.339133195
India,2021-08-30,32737939,438210,1.338538752
India,2021-11-03,34308140,459191,1.338431638
India,2021-08-31,32768880,438560,1.338342964
India,2021-09-01,32810845,439020,1.338033202
India,2021-11-02,34296237,458880,1.337989354
India,2021-09-02,32857937,439529,1.337664626
India,2021-03-31,12149335,162468,1.337258377
India,2021-11-01,34285814,458437,1.337104028
India,2021-09-03,32903289,439895,1.336933217
India,2021-10-31,34273300,458186,1.336859888
India,2021-09-04,32945907,440225,1.336205435
India,2021-10-30,34260470,457740,1.336058729
India,2022-01-13,36317927,485035,1.335525015
India,2021-09-05,32988673,440533,1.335406853
India,2021-10-29,34246157,457191,1.335014028
India,2021-09-06,33027621,440752,1.334495149
India,2021-09-07,33058843,441042,1.334112026
India,2021-09-08,33096718,441411,1.333700218
India,2021-10-28,34231809,456386,1.333221975
India,2021-04-01,12221665,162927,1.333099868
India,2021-09-09,33139981,441749,1.332979038
India,2021-09-10,33174954,442009,1.332357537
India,2021-09-11,33208330,442317,1.33194593
India,2021-09-12,33236921,442655,1.331817108
India,2021-10-27,34215653,455653,1.331709203
India,2021-09-14,33289579,443213,1.331386618
India,2021-09-13,33264175,442874,1.33138429
India,2021-09-16,33347325,443928,1.331225218
India,2021-09-15,33316755,443497,1.331153049
India,2021-09-17,33381728,444248,1.330811874
India,2021-10-26,34202202,455068,1.33052252
India,2021-09-18,33417390,444529,1.330232553
India,2021-10-25,34189774,454712,1.329964919
India,2021-09-19,33448163,444838,1.329932529
India,2021-07-17,31064908,413091,1.329767337
India,2021-07-18,31106065,413609,1.329673168
India,2021-07-19,31144229,414108,1.329646016
India,2021-09-20,33478419,445133,1.329611772
India,2021-07-16,31026829,412531,1.329594462
India,2021-07-20,31174322,414482,1.329562195
India,2021-07-15,30987880,411989,1.329516572
India,2021-07-14,30946074,411408,1.329435197
India,2021-09-22,33531498,445768,1.329400792
India,2021-09-21,33504534,445385,1.329327547
India,2021-10-24,34175468,454269,1.329225396
India,2021-07-13,30907282,410784,1.329084842
India,2021-09-23,33563421,446050,1.328976566
India,2021-09-24,33594803,446368,1.328681701
India,2021-09-25,33624419,446658,1.328373882
India,2021-10-23,34159562,453708,1.328202042
India,2021-04-02,12303131,163396,1.328084696
India,2021-09-26,33652745,446918,1.328028367
India,2021-09-29,33716451,447751,1.32798971
India,2021-09-30,33739980,448062,1.327985375
India,2021-09-27,33678786,447194,1.327821021
India,2021-10-01,33766707,448339,1.327754584
India,2021-09-28,33697581,447373,1.327611617
India,2021-10-02,33791061,448573,1.327490131
India,2021-10-15,34037592,451814,1.327397073
India,2021-10-03,33813903,448817,1.32731498
India,2021-10-16,34053573,451980,1.327261606
India,2021-10-07,33894312,449856,1.327231543
India,2021-10-08,33915569,450127,1.327198727
India,2021-10-06,33871881,449538,1.327171644
India,2021-10-09,33935309,450375,1.327157504
India,2021-10-17,34067719,452124,1.327133173
India,2021-10-18,34081315,452290,1.327090812
India,2021-10-05,33853048,449260,1.327088775
India,2021-10-10,33953475,450589,1.327077714
India,2021-10-20,34108996,452651,1.327072189
India,2021-10-19,34094373,452454,1.32706356
India,2021-10-04,33834702,448997,1.327031046
India,2021-10-13,34001743,451189,1.326958444
India,2021-10-14,34020730,451435,1.326940956
India,2021-10-11,33971607,450782,1.326937522
India,2021-10-12,33985920,450963,1.326911262
